symbol,instrument_token,sector,sector_index
ABB,3329,Capital Goods,NSE:NIFTY INFRA
ADANIENSOL,2615553,Other,NSE:NIFTY 50
ADANIENT,6401,Diversified,NSE:NIFTY 500
ADANIGREEN,912129,Power,NSE:NIFTY ENERGY
ADANIPORTS,3861249,Infrastructure,NSE:NIFTY INFRA
ADANIPOWER,4451329,Power,NSE:NIFTY ENERGY
AMBUJACEM,325121,Cement,NSE:NIFTY INFRA
APOLLOHOSP,40193,Healthcare,NSE:NIFTY PHARMA
ASIANPAINT,60417,Consumer Durables,NSE:NIFTY CONSUMPTION
AXISBANK,1510401,Bank,NSE:NIFTY BANK
BAJAJ-AUTO,4267265,Auto,NSE:NIFTY AUTO
BAJAJFINSV,4268801,Financial Services,NSE:NIFTY FIN SERVICE
BAJAJHFL,6469121,Other,NSE:NIFTY 50
BAJAJHLDNG,78081,Financial Services,NSE:NIFTY FIN SERVICE
BAJFINANCE,81153,Financial Services,NSE:NIFTY FIN SERVICE
BANKBARODA,1195009,Bank,NSE:NIFTY BANK
BEL,98049,Capital Goods,NSE:NIFTY INFRA
BHARTIARTL,2714625,Telecom,NSE:NIFTY IT
BOSCHLTD,558337,Auto,NSE:NIFTY AUTO
BPCL,134657,Oil & Gas,NSE:NIFTY ENERGY
BRITANNIA,140033,FMCG,NSE:NIFTY FMCG
CANBK,2763265,Bank,NSE:NIFTY BANK
CGPOWER,194561,Capital Goods,NSE:NIFTY INFRA
CHOLAFIN,175361,Financial Services,NSE:NIFTY FIN SERVICE
CIPLA,177665,Pharma,NSE:NIFTY PHARMA
COALINDIA,5215745,Metal,NSE:NIFTY METAL
DIVISLAB,2800641,Pharma,NSE:NIFTY PHARMA
DLF,3771393,Realty,NSE:NIFTY REALTY
DMART,5097729,Other,NSE:NIFTY 50
DRREDDY,225537,Pharma,NSE:NIFTY PHARMA
EICHERMOT,232961,Auto,NSE:NIFTY AUTO
ENRIN,193758977,Other,NSE:NIFTY 50
ETERNAL,1304833,Other,NSE:NIFTY 50
GAIL,1207553,Oil & Gas,NSE:NIFTY ENERGY
GODREJCP,2585345,FMCG,NSE:NIFTY FMCG
GRASIM,315393,Cement,NSE:NIFTY INFRA
HAL,589569,Capital Goods,NSE:NIFTY INFRA
HAVELLS,2513665,Consumer Durables,NSE:NIFTY CONSUMPTION
HCLTECH,1850625,IT,NSE:NIFTY IT
HDFCBANK,341249,Bank,NSE:NIFTY BANK
HDFCLIFE,119553,Financial Services,NSE:NIFTY FIN SERVICE
HINDALCO,348929,Metal,NSE:NIFTY METAL
HINDUNILVR,356865,FMCG,NSE:NIFTY FMCG
HINDZINC,364545,Metal,NSE:NIFTY METAL
HYUNDAI,6616065,Other,NSE:NIFTY 50
ICICIBANK,1270529,Bank,NSE:NIFTY BANK
ICICIGI,5573121,Financial Services,NSE:NIFTY FIN SERVICE
INDHOTEL,387073,Consumer Durables,NSE:NIFTY CONSUMPTION
INDIGO,2865921,Infrastructure,NSE:NIFTY INFRA
INFY,408065,IT,NSE:NIFTY IT
IOC,415745,Oil & Gas,NSE:NIFTY ENERGY
IRFC,519425,Financial Services,NSE:NIFTY FIN SERVICE
ITC,424961,FMCG,NSE:NIFTY FMCG
JINDALSTEL,1723649,Metal,NSE:NIFTY METAL
JIOFIN,4644609,Other,NSE:NIFTY 50
JSWENERGY,4574465,Power,NSE:NIFTY ENERGY
JSWSTEEL,3001089,Metal,NSE:NIFTY METAL
KOTAKBANK,492033,Bank,NSE:NIFTY BANK
LICI,2426881,Financial Services,NSE:NIFTY FIN SERVICE
LODHA,824321,Other,NSE:NIFTY 50
LT,2939649,Infrastructure,NSE:NIFTY INFRA
LTIM,4561409,IT,NSE:NIFTY IT
M&M,519937,Auto,NSE:NIFTY AUTO
MARUTI,2815745,Auto,NSE:NIFTY AUTO
MAXHEALTH,5728513,Healthcare,NSE:NIFTY PHARMA
MAZDOCK,130305,Capital Goods,NSE:NIFTY INFRA
MOTHERSON,1076225,Auto,NSE:NIFTY AUTO
NAUKRI,3520257,IT,NSE:NIFTY IT
NESTLEIND,4598529,FMCG,NSE:NIFTY FMCG
NTPC,2977281,Power,NSE:NIFTY ENERGY
ONGC,633601,Oil & Gas,NSE:NIFTY ENERGY
PFC,3660545,Power,NSE:NIFTY ENERGY
PIDILITIND,681985,Chemicals,NSE:NIFTY COMMODITIES
PNB,2730497,Bank,NSE:NIFTY BANK
POWERGRID,3834113,Power,NSE:NIFTY ENERGY
RECLTD,3930881,Power,NSE:NIFTY ENERGY
RELIANCE,738561,Oil & Gas,NSE:NIFTY ENERGY
SBILIFE,5582849,Financial Services,NSE:NIFTY FIN SERVICE
SBIN,779521,Bank,NSE:NIFTY BANK
SHREECEM,794369,Cement,NSE:NIFTY INFRA
SHRIRAMFIN,1102337,Financial Services,NSE:NIFTY FIN SERVICE
SIEMENS,806401,Capital Goods,NSE:NIFTY INFRA
SOLARINDS,3412993,Capital Goods,NSE:NIFTY INFRA
SUNPHARMA,857857,Pharma,NSE:NIFTY PHARMA
TATACONSUM,878593,FMCG,NSE:NIFTY FMCG
TATAPOWER,877057,Power,NSE:NIFTY ENERGY
TATASTEEL,895745,Metal,NSE:NIFTY METAL
TCS,2953217,IT,NSE:NIFTY IT
TECHM,3465729,IT,NSE:NIFTY IT
TITAN,897537,Consumer Durables,NSE:NIFTY CONSUMPTION
TMPV,884737,Other,NSE:NIFTY 50
TORNTPHARM,900609,Pharma,NSE:NIFTY PHARMA
TRENT,502785,FMCG,NSE:NIFTY FMCG
TVSMOTOR,2170625,Auto,NSE:NIFTY AUTO
ULTRACEMCO,2952193,Cement,NSE:NIFTY INFRA
UNITDSPR,2674433,Other,NSE:NIFTY 50
VBL,4843777,FMCG,NSE:NIFTY FMCG
VEDL,784129,Metal,NSE:NIFTY METAL
WIPRO,969473,IT,NSE:NIFTY IT
ZYDUSLIFE,2029825,Pharma,NSE:NIFTY PHARMA
